train_loss_l2,train_loss_l1,train_nmse,train_nmae,train_false_positives,train_false_negatives,train_coherence
0.2630214677192271,1.774176336824894,-2.319094224384821,0.299531216520286,0.1464412147551775,0.023267430951818824,0.7071067690849304
0.2252794469241053,1.744231065735221,-3.0823564920080693,0.19468171888188396,0.149677427187562,0.021904267380014063,0.7071067690849304
0.2491313659120351,1.7554264087229967,-2.521870396016937,0.2652728658522339,0.14363164141774176,0.022903226874768735,0.6666666269302368
0.20817544544115663,1.7065363014116883,-3.4387179313812166,0.08310454399544641,0.1488865852355957,0.02091571374796331,0.8164965510368347
0.1864392067072913,1.6507338834926486,-3.8006126739995216,-0.003032853511383694,0.1507076033204794,0.02109261281788349,0.6324555277824402
0.24589254113379866,1.7509080450981855,-2.6960567367999877,0.1851302893864875,0.1468054186925292,0.02190426749177277,0.5976143479347229
0.22097019909415394,1.7299475176259875,-3.13965682308929,0.17561847532594416,0.14899064280092716,0.02218522483482957,0.6324555277824402
0.2004829472862184,1.67493902053684,-3.4974665072917728,0.049504678340722905,0.14807492926716803,0.021488034399226308,0.6324555277824402
0.2194954155711457,1.7149390764534473,-3.161906964336773,0.13138385246290807,0.1462122870236635,0.021685745138674974,0.5773502588272095
0.1976201506331563,1.6751745035871863,-3.6718870660659553,-0.000986615225302451,0.14568158999085426,0.020780438045039772,0.5999999642372131
